id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id
361,COL6A3_ITGA3_ITGB1,103,400
362,COL9A1_ITGA3_ITGB1,104,400
363,COL9A2_ITGA3_ITGB1,105,400
364,COL9A3_ITGA3_ITGB1,106,400
365,LAMA1_ITGA6_ITGB1,108,389
366,LAMA2_ITGA6_ITGB1,109,389
367,LAMA3_ITGA6_ITGB1,110,389
368,LAMA4_ITGA6_ITGB1,111,389
369,LAMA5_ITGA6_ITGB1,112,389
370,LAMB1_ITGA6_ITGB1,113,389
371,LAMB2_ITGA6_ITGB1,114,389
372,LAMB3_ITGA6_ITGB1,115,389
373,LAMC1_ITGA6_ITGB1,116,389
374,LAMC3_ITGA6_ITGB1,117,389
375,LAMA1_ITGA7_ITGB1,108,401
376,LAMA2_ITGA7_ITGB1,109,401
377,LAMA3_ITGA7_ITGB1,110,401
378,LAMA4_ITGA7_ITGB1,111,401
379,LAMA5_ITGA7_ITGB1,112,401
380,LAMB1_ITGA7_ITGB1,113,401
381,LAMB2_ITGA7_ITGB1,114,401
382,LAMB3_ITGA7_ITGB1,115,401
383,LAMC1_ITGA7_ITGB1,116,401
384,LAMC3_ITGA7_ITGB1,117,401
385,TNC_ITGA8_ITGB1,123,386
386,TNXB_ITGA8_ITGB1,124,386
387,TNC_ITGA9_ITGB1,123,385
388,TNXB_ITGA9_ITGB1,124,385
389,COL1A1_ITGA9_ITGB1,94,385
390,COL1A2_ITGA9_ITGB1,95,385
391,COL2A1_ITGA9_ITGB1,96,385
392,COL4A1_ITGA9_ITGB1,97,385
393,COL4A2_ITGA9_ITGB1,98,385
394,COL4A5_ITGA9_ITGB1,99,385
395,COL4A6_ITGA9_ITGB1,100,385
396,COL6A1_ITGA9_ITGB1,101,385
397,COL6A2_ITGA9_ITGB1,102,385
398,COL6A3_ITGA9_ITGB1,103,385
399,COL9A1_ITGA9_ITGB1,104,385
400,COL9A2_ITGA9_ITGB1,105,385
401,COL9A3_ITGA9_ITGB1,106,385
402,LAMA1_ITGA9_ITGB1,108,385
403,LAMA2_ITGA9_ITGB1,109,385
404,LAMA3_ITGA9_ITGB1,110,385
405,LAMA4_ITGA9_ITGB1,111,385
406,LAMA5_ITGA9_ITGB1,112,385
407,LAMB1_ITGA9_ITGB1,113,385
408,LAMB2_ITGA9_ITGB1,114,385
409,LAMB3_ITGA9_ITGB1,115,385
410,LAMC1_ITGA9_ITGB1,116,385
411,LAMC3_ITGA9_ITGB1,117,385
412,FN1_ITGAV_ITGB1,107,382
413,FN1_ITGAV_ITGB8,107,402
414,LAMA1_ITGAV_ITGB8,108,402
415,LAMA2_ITGAV_ITGB8,109,402
416,LAMA3_ITGAV_ITGB8,110,402
417,LAMA4_ITGAV_ITGB8,111,402
418,LAMA5_ITGAV_ITGB8,112,402
419,LAMB1_ITGAV_ITGB8,113,402
420,LAMB2_ITGAV_ITGB8,114,402
421,LAMB3_ITGAV_ITGB8,115,402
422,LAMC1_ITGAV_ITGB8,116,402
423,LAMC3_ITGAV_ITGB8,117,402
424,COL1A1_ITGAV_ITGB8,94,402
425,COL1A2_ITGAV_ITGB8,95,402
426,COL2A1_ITGAV_ITGB8,96,402
427,COL4A1_ITGAV_ITGB8,97,402
428,COL4A2_ITGAV_ITGB8,98,402
429,COL4A5_ITGAV_ITGB8,99,402
430,COL4A6_ITGAV_ITGB8,100,402
431,COL6A1_ITGAV_ITGB8,101,402
432,COL6A2_ITGAV_ITGB8,102,402
433,COL6A3_ITGAV_ITGB8,103,402
434,COL9A1_ITGAV_ITGB8,104,402
435,COL9A2_ITGAV_ITGB8,105,402
436,COL9A3_ITGAV_ITGB8,106,402
437,LAMA1_ITGA6_ITGB4,108,375
438,LAMA2_ITGA6_ITGB4,109,375
439,LAMA3_ITGA6_ITGB4,110,375
440,LAMA4_ITGA6_ITGB4,111,375
441,LAMA5_ITGA6_ITGB4,112,375
442,LAMB1_ITGA6_ITGB4,113,375
443,LAMB2_ITGA6_ITGB4,114,375
444,LAMB3_ITGA6_ITGB4,115,375
445,LAMC1_ITGA6_ITGB4,116,375
446,LAMC3_ITGA6_ITGB4,117,375
447,FN1_CD44,107,242
448,COL1A1_CD44,94,242
449,COL1A2_CD44,95,242
450,COL2A1_CD44,96,242
451,COL4A1_CD44,97,242
452,COL4A2_CD44,98,242
453,COL4A5_CD44,99,242
454,COL4A6_CD44,100,242
455,COL6A1_CD44,101,242
456,COL6A2_CD44,102,242
457,COL6A3_CD44,103,242
458,COL9A1_CD44,104,242
459,COL9A2_CD44,105,242
460,COL9A3_CD44,106,242
461,LAMA1_CD44,108,242
462,LAMA2_CD44,109,242
463,LAMA3_CD44,110,242
464,LAMA4_CD44,111,242
465,LAMA5_CD44,112,242
466,LAMB1_CD44,113,242
467,LAMB2_CD44,114,242
468,LAMB3_CD44,115,242
469,LAMC1_CD44,116,242
470,LAMC3_CD44,117,242
471,COL1A1_SDC1,94,260
472,COL1A2_SDC1,95,260
473,COL2A1_SDC1,96,260
474,COL4A1_SDC1,97,260
475,COL4A2_SDC1,98,260
476,COL4A5_SDC1,99,260
477,COL4A6_SDC1,100,260
478,COL6A1_SDC1,101,260
479,COL6A2_SDC1,102,260
480,COL6A3_SDC1,103,260
481,COL9A1_SDC1,104,260
482,COL9A2_SDC1,105,260
483,COL9A3_SDC1,106,260
484,FN1_SDC1,107,260
485,TNC_SDC1,123,260
486,TNXB_SDC1,124,260
487,THBS1_SDC1,119,260
488,THBS2_SDC1,120,260
489,THBS3_SDC1,121,260
490,THBS4_SDC1,122,260
491,COL1A1_SDC4,94,263
492,COL1A2_SDC4,95,263
493,COL2A1_SDC4,96,263
494,COL4A1_SDC4,97,263
495,COL4A2_SDC4,98,263
496,COL4A5_SDC4,99,263
497,COL4A6_SDC4,100,263
498,COL6A1_SDC4,101,263
499,COL6A2_SDC4,102,263
500,COL6A3_SDC4,103,263
501,COL9A1_SDC4,104,263
502,COL9A2_SDC4,105,263
503,COL9A3_SDC4,106,263
504,FN1_SDC4,107,263
505,TNC_SDC4,123,263
506,TNXB_SDC4,124,263
507,THBS1_SDC4,119,263
508,THBS2_SDC4,120,263
509,THBS3_SDC4,121,263
510,THBS4_SDC4,122,263
511,LAMA1_SV2A,108,302
512,LAMA2_SV2A,109,302
513,LAMA3_SV2A,110,302
514,LAMA4_SV2A,111,302
515,LAMA5_SV2A,112,302
516,LAMB1_SV2A,113,302
517,LAMB2_SV2A,114,302
518,LAMB3_SV2A,115,302
519,LAMC1_SV2A,116,302
520,LAMC3_SV2A,117,302
521,LAMA1_SV2C,108,303
522,LAMA2_SV2C,109,303
523,LAMA3_SV2C,110,303
524,LAMA4_SV2C,111,303
525,LAMA5_SV2C,112,303
526,LAMB1_SV2C,113,303
527,LAMB2_SV2C,114,303
528,LAMB3_SV2C,115,303
529,LAMC1_SV2C,116,303
530,LAMC3_SV2C,117,303
531,THBS1_CD36,119,304
532,THBS2_CD36,120,304
533,THBS3_CD36,121,304
534,THBS4_CD36,122,304
535,THBS1_CD47,119,305
536,THBS2_CD47,120,305
537,THBS3_CD47,121,305
538,THBS4_CD47,122,305
539,AGRN_DAG1,125,306
540,HSPG2_DAG1,126,306
541,LAMA1_DAG1,108,306
542,LAMA2_DAG1,109,306
543,LAMA3_DAG1,110,306
544,LAMA4_DAG1,111,306
545,LAMA5_DAG1,112,306
546,LAMB1_DAG1,113,306
547,LAMB2_DAG1,114,306
548,LAMB3_DAG1,115,306
549,LAMC1_DAG1,116,306
550,LAMC3_DAG1,117,306
551,ADGRE5_CD55,127,307
552,APP_CD74,128,241
553,CADM1_CADM1,129,129
554,CADM3_CADM3,130,130
555,CD46_JAG1,131,175
556,CD99_CD99,132,132
557,CD99_CD99L2,132,308
558,CDH4_CDH4,133,133
559,CDH2_CDH2,134,134
560,CDH1_CDH1,135,135
561,CDH1_ITGA1_ITGB1,135,388
562,CDH5_CDH5,136,136
